COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
88;0;352;4345,64102564103;4192,30769230769;4333,84615384615;4392,30769230769;4349,74358974359;4459,48717948718;4580,51282051282;3999,48717948718;4411,79487179487;4276,41025641026;4498,97435897436;4276,41025641026;4165,12820512821;4965,64102564103;1593;1737;72,137;15,0285406112671;0;0;0;0
89;0;395;4343,58974358974;4187,17948717949;4329,74358974359;4390,25641025641;4337,94871794872;4465,12820512821;4583,07692307692;4001,02564102564;4410,25641025641;4266,66666666667;4485,12820512821;4276,92307692308;4161,53846153846;4961,02564102564;1592;1738;72,145;15,0285406112671;0;0;0;0
90;0;465;4336,41025641026;4184,10256410256;4328,20512820513;4385,12820512821;4326,15384615385;4470,25641025641;4588,20512820513;4002,05128205128;4412,30769230769;4252,30769230769;4478,46153846154;4282,5641025641;4156,41025641026;4953,84615384615;1593;1737;72,153;15,2162017822266;0;0;0;0
91;0;452;4333,84615384615;4184,61538461538;4332,82051282051;4385,12820512821;4315,89743589744;4470,25641025641;4588,71794871795;4005,64102564103;4419,48717948718;4246,15384615385;4474,8717948718;4289,23076923077;4156,41025641026;4955,38461538462;1593;1737;72,16;15,2162017822266;0;0;0;0
92;0;352;4334,35897435897;4183,07692307692;4331,28205128205;4387,69230769231;4303,07692307692;4464,61538461538;4583,07692307692;4008,20512820513;4422,05128205128;4242,05128205128;4472,30769230769;4289,74358974359;4159,48717948718;4963,58974358974;1594;1737;72,168;15,2162017822266;0;0;0;0
93;0;395;4326,15384615385;4176,92307692308;4323,58974358974;4385,64102564103;4292,82051282051;4457,4358974359;4577,94871794872;4003,58974358974;4418,97435897436;4231,79487179487;4466,15384615385;4289,74358974359;4157,94871794872;4957,94871794872;1594;1736;72,176;15,2162017822266;0;0;0;0
94;0;465;4318,97435897436;4180,51282051282;4325,64102564103;4385,12820512821;4293,33333333333;4453,33333333333;4577,94871794872;4001,02564102564;4418,46153846154;4224,10256410256;4458,97435897436;4295,38461538462;4155,38461538462;4947,69230769231;1594;1736;72,184;15,2162017822266;0;0;0;0
95;0;452;4318,46153846154;4185,64102564103;4328,71794871795;4386,15384615385;4294,8717948718;4455,89743589744;4583,07692307692;4006,15384615385;4422,5641025641;4220,51282051282;4455,38461538462;4296,41025641026;4149,23076923077;4944,10256410256;1595;1736;72,192;15,2162017822266;0;0;0;0
96;0;352;4315,38461538462;4180,51282051282;4321,53846153846;4381,02564102564;4289,23076923077;4460;4587,69230769231;4011,28205128205;4425,64102564103;4212,82051282051;4451,28205128205;4292,82051282051;4145,12820512821;4945,64102564103;1595;1736;72,199;15,2162017822266;0;0;0;0
97;0;395;4309,23076923077;4173,33333333333;4320;4378,97435897436;4288,20512820513;4461,53846153846;4588,20512820513;4012,30769230769;4424,10256410256;4203,07692307692;4443,58974358974;4291,28205128205;4148,71794871795;4949,74358974359;1595;1735;72,208;15,2162017822266;0;0;0;0
98;0;465;4305,64102564103;4170,76923076923;4323,58974358974;4384,61538461538;4291,79487179487;4462,05128205128;4585,64102564103;4009,23076923077;4422,05128205128;4196,92307692308;4438,46153846154;4289,23076923077;4147,17948717949;4946,15384615385;1595;1734;72,215;15,2162017822266;0;0;0;0
